Record Date,smart,Stored Value Card,pass1,pass3,pass5,tokens,ncmc,group,qr,QR NammaMetro,QR WhatsApp,QR Paytm,Total_Flow,Total_Revenue
2024-10-26,353460,352496,853,43,68,241883,7444,512,177279,49351,95571,32357,781542,22445670.0
2024-10-27,176278,175195,971,75,37,250124,4278,458,205910,56321,111959,37630,638131,18676676.0
2024-10-28,452257,451688,405,107,57,208014,11076,160,177629,49051,94150,34428,849705,24184159.0
2024-10-29,452299,451672,471,115,41,205421,10948,407,182210,53315,94739,34156,851912,24249923.0
2024-10-30,425759,425115,494,104,46,233366,9975,198,201583,51942,111291,38350,871525,24918333.0
2024-11-13,472363,471546,501,73,243,204021,12056,1090,177117,50163,91783,35171,867464,24704891.0
2024-11-14,471099,469989,787,86,237,207693,11858,348,180760,50740,93169,36851,872868,24882833.0
2024-11-15,444111,443160,668,85,198,211495,10644,413,180093,51089,94929,34075,847707,24193507.0
2024-11-16,331695,330501,1001,118,75,263563,8092,1311,232090,62453,126066,43571,837945,24223615.0
2024-11-18,363367,362433,674,105,155,231636,8835,833,188268,51191,101196,35881,793873,22812749.0
2024-11-19,483984,483232,476,117,159,205106,12331,761,186931,52306,98035,36590,889865,25325858.0
2024-11-21,476275,475487,440,159,189,198205,12056,830,180890,50723,94482,35685,869044,24738155.0
2024-11-22,467646,466853,469,143,181,206422,11172,1578,179456,50124,94823,34509,867067,24701012.0
2024-11-23,360200,358943,1007,187,63,252124,7502,892,180308,48804,98301,33203,802283,23076970.0
2024-11-24,232570,231332,1080,115,43,273790,4558,734,169201,44895,94343,29963,682091,19839380.0
2024-11-25,455998,455065,673,70,190,219702,11454,645,189697,53591,100228,35878,878429,25074996.0
2024-11-26,479416,478599,546,62,209,196546,12319,661,180323,50024,94852,35447,870082,24753022.0
2024-11-27,478277,477713,321,61,182,199749,12191,618,179547,50155,94551,34841,870946,24765899.0
2024-11-28,464165,463303,597,75,190,200081,11859,785,183068,50567,97001,35500,860820,24520035.0
2024-11-29,459914,458983,644,77,210,205777,11220,780,181937,50383,97180,34374,860559,24532578.0
2024-11-30,391894,390520,1180,142,52,234756,8428,1045,178402,47520,97787,33095,815899,23386668.0
2024-12-13,451688,450734,582,249,123,230188,12238,325,195704,56657,104783,34264,891097,25476666.0
2024-12-14,296242,294895,1162,100,85,255629,8225,994,238622,62576,131357,44689,801059,23229474.0
2024-12-16,463552,462769,486,72,225,209002,13034,393,193576,55651,101908,36017,880340,25111974.0
2024-12-17,470382,469587,447,278,70,192210,13299,445,183556,51568,96780,35208,860687,24493504.0
2024-12-19,459928,458959,617,87,265,202195,13244,805,187558,52034,99063,36461,864699,24672206.0
2024-12-20,439068,438090,584,144,250,210119,12815,622,207411,58317,110286,38808,871013,24928526.0
2024-12-21,324448,323118,1139,93,98,253880,9103,637,239605,63823,130920,44862,829003,23984576.0
2024-12-22,166851,165829,897,60,65,263738,4699,965,213329,55613,118686,39030,650604,19081197.0
2024-12-23,401108,400391,551,63,103,224285,11427,706,187405,53041,99745,34619,825648,23626676.0
2024-12-24,386649,385673,833,53,90,226151,11204,454,198573,54821,106389,37363,824007,23626893.0
2024-12-25,215312,213779,1380,55,98,288978,6345,1045,255747,67415,140051,48281,768960,22513874.0
2024-12-26,351021,349989,857,74,101,210472,10271,344,166751,46896,89828,30027,739891,21217797.0
2024-12-27,291750,290696,861,81,112,205762,8344,761,170866,47490,91406,31970,678537,19559310.0
2024-12-28,251669,250228,1274,94,73,237325,7405,757,197846,52122,109626,36098,696443,20224933.0
2024-12-29,157178,155937,1110,85,46,250840,4709,750,186812,49551,103414,33847,601530,17645636.0
2024-12-31,280798,279656,914,96,132,349701,11091,1029,112477,5423,39627,59321,756238,21933266.0
2025-01-14,138529,137591,818,54,66,191747,4573,306,149138,40216,81935,26987,485231,14201063.0
2025-01-15,543080,542320,584,89,87,84841,14210,228,183005,50864,99435,32706,826124,23216460.0
2025-01-16,631442,630315,929,115,83,191422,15026,205,12903,3947,6671,2285,852125,23748544.0
2025-01-17,437788,437044,549,106,89,193440,14225,673,192803,52617,105183,35003,839673,23940836.0
2025-01-18,323108,322031,934,87,56,235619,10474,471,222984,58166,125725,39093,793733,22909936.0
2025-01-19,190359,189617,659,45,38,169053,5066,454,169207,44275,96597,28335,534881,15519623.0
