Record Date,smart,Stored Value Card,pass1,pass3,pass5,tokens,ncmc,group,qr,QR NammaMetro,QR WhatsApp,QR Paytm,Total_Flow,Total_Revenue,day_of_week,is_weekend,month,year,flow_lag1,flow_lag7,revenue_lag1,revenue_lag7,flow_roll7,flow_roll14,revenue_roll7,revenue_roll14
2024-10-26,353460,352496,853,43,68,241883,7444,512,177279,49351,95571,32357,781542,22445670.0,Saturday,True,10,2024,,,,,,,,
2024-10-27,176278,175195,971,75,37,250124,4278,458,205910,56321,111959,37630,638131,18676676.0,Sunday,True,10,2024,781542.0,,22445670.0,,,,,
2024-10-28,452257,451688,405,107,57,208014,11076,160,177629,49051,94150,34428,849705,24184159.0,Monday,False,10,2024,638131.0,,18676676.0,,,,,
2024-10-29,452299,451672,471,115,41,205421,10948,407,182210,53315,94739,34156,851912,24249923.0,Tuesday,False,10,2024,849705.0,,24184159.0,,,,,
2024-10-30,425759,425115,494,104,46,233366,9975,198,201583,51942,111291,38350,871525,24918333.0,Wednesday,False,10,2024,851912.0,,24249923.0,,,,,
2024-11-13,472363,471546,501,73,243,204021,12056,1090,177117,50163,91783,35171,867464,24704891.0,Wednesday,False,11,2024,871525.0,,24918333.0,,,,,
2024-11-14,471099,469989,787,86,237,207693,11858,348,180760,50740,93169,36851,872868,24882833.0,Thursday,False,11,2024,867464.0,,24704891.0,,819021.0,,23437497.85714286,
2024-11-15,444111,443160,668,85,198,211495,10644,413,180093,51089,94929,34075,847707,24193507.0,Friday,False,11,2024,872868.0,781542.0,24882833.0,22445670.0,828473.1428571428,,23687188.85714286,
2024-11-16,331695,330501,1001,118,75,263563,8092,1311,232090,62453,126066,43571,837945,24223615.0,Saturday,True,11,2024,847707.0,638131.0,24193507.0,18676676.0,857018.0,,24479608.714285713,
2024-11-18,363367,362433,674,105,155,231636,8835,833,188268,51191,101196,35881,793873,22812749.0,Monday,False,11,2024,837945.0,849705.0,24223615.0,24184159.0,849042.0,,24283693.0,
2024-11-19,483984,483232,476,117,159,205106,12331,761,186931,52306,98035,36590,889865,25325858.0,Tuesday,False,11,2024,793873.0,851912.0,22812749.0,24249923.0,854463.8571428572,,24437398.0,
2024-11-21,476275,475487,440,159,189,198205,12056,830,180890,50723,94482,35685,869044,24738155.0,Thursday,False,11,2024,889865.0,871525.0,25325858.0,24918333.0,854109.4285714285,,24411658.285714287,
2024-11-22,467646,466853,469,143,181,206422,11172,1578,179456,50124,94823,34509,867067,24701012.0,Friday,False,11,2024,869044.0,867464.0,24738155.0,24704891.0,854052.7142857143,,24411104.14285714,
2024-11-23,360200,358943,1007,187,63,252124,7502,892,180308,48804,98301,33203,802283,23076970.0,Saturday,True,11,2024,867067.0,872868.0,24701012.0,24882833.0,843969.1428571428,831495.0714285715,24153123.714285713,23795310.785714287
2024-11-24,232570,231332,1080,115,43,273790,4558,734,169201,44895,94343,29963,682091,19839380.0,Sunday,True,11,2024,802283.0,847707.0,23076970.0,24193507.0,820309.7142857143,824391.4285714285,23531105.57142857,23609147.214285713
2024-11-25,455998,455065,673,70,190,219702,11454,645,189697,53591,100228,35878,878429,25074996.0,Monday,False,11,2024,682091.0,837945.0,19839380.0,24223615.0,826093.1428571428,841555.5714285715,23652731.42857143,24066170.07142857
2024-11-26,479416,478599,546,62,209,196546,12319,661,180323,50024,94852,35447,870082,24753022.0,Tuesday,False,11,2024,878429.0,793873.0,25074996.0,22812749.0,836980.1428571428,843011.0714285715,23929913.285714287,24106803.14285714
2024-11-27,478277,477713,321,61,182,199749,12191,618,179547,50155,94551,34841,870946,24765899.0,Wednesday,False,11,2024,870082.0,889865.0,24753022.0,25325858.0,834277.4285714285,844370.6428571428,23849919.14285714,24143658.57142857
2024-11-28,464165,463303,597,75,190,200081,11859,785,183068,50567,97001,35500,860820,24520035.0,Thursday,False,11,2024,870946.0,869044.0,24765899.0,24738155.0,833102.5714285715,843606.0,23818759.14285714,24115208.714285713
2024-11-29,459914,458983,644,77,210,205777,11220,780,181937,50383,97180,34374,860559,24532578.0,Friday,False,11,2024,860820.0,867067.0,24520035.0,24701012.0,832172.8571428572,843112.7857142857,23794697.14285714,24102900.64285714
2024-11-30,391894,390520,1180,142,52,234756,8428,1045,178402,47520,97787,33095,815899,23386668.0,Saturday,True,11,2024,860559.0,802283.0,24532578.0,23076970.0,834118.0,839043.5714285715,23838939.714285713,23996031.714285713
2024-12-13,451688,450734,582,249,123,230188,12238,325,195704,56657,104783,34264,891097,25476666.0,Friday,False,12,2024,815899.0,682091.0,23386668.0,19839380.0,863976.0,842142.8571428572,24644266.285714287,24087685.92857143
2024-12-14,296242,294895,1162,100,85,255629,8225,994,238622,62576,131357,44689,801059,23229474.0,Saturday,True,12,2024,891097.0,878429.0,25476666.0,25074996.0,852923.1428571428,839508.1428571428,24380620.285714287,24016675.85714286
2024-12-16,463552,462769,486,72,225,209002,13034,393,193576,55651,101908,36017,880340,25111974.0,Monday,False,12,2024,801059.0,870082.0,23229474.0,24753022.0,854388.5714285715,845684.3571428572,24431899.14285714,24180906.214285713
2024-12-17,470382,469587,447,278,70,192210,13299,445,183556,51568,96780,35208,860687,24493504.0,Tuesday,False,12,2024,880340.0,870946.0,25111974.0,24765899.0,852923.0,843600.2142857143,24392985.57142857,24121452.35714286
2024-12-19,459928,458959,617,87,265,202195,13244,805,187558,52034,99063,36461,864699,24672206.0,Thursday,False,12,2024,860687.0,860820.0,24493504.0,24520035.0,853477.1428571428,843289.8571428572,24414724.285714287,24116741.714285713
2024-12-20,439068,438090,584,144,250,210119,12815,622,207411,58317,110286,38808,871013,24928526.0,Friday,False,12,2024,864699.0,860559.0,24672206.0,24532578.0,854970.5714285715,843571.7142857143,24471288.285714287,24132992.714285713
2024-12-21,324448,323118,1139,93,98,253880,9103,637,239605,63823,130920,44862,829003,23984576.0,Saturday,True,12,2024,871013.0,815899.0,24928526.0,23386668.0,856842.5714285715,845480.2857142857,24556703.714285713,24197821.714285713
2024-12-22,166851,165829,897,60,65,263738,4699,965,213329,55613,118686,39030,650604,19081197.0,Sunday,True,12,2024,829003.0,891097.0,23984576.0,25476666.0,822486.4285714285,843231.2142857143,23643065.285714287,24143665.785714287
2024-12-23,401108,400391,551,63,103,224285,11427,706,187405,53041,99745,34619,825648,23626676.0,Monday,False,12,2024,650604.0,801059.0,19081197.0,23229474.0,825999.1428571428,839461.1428571428,23699808.42857143,24040214.35714286
2024-12-24,386649,385673,833,53,90,226151,11204,454,198573,54821,106389,37363,824007,23626893.0,Tuesday,False,12,2024,825648.0,880340.0,23626676.0,25111974.0,817951.5714285715,836170.0714285715,23487654.0,23959776.57142857
2024-12-25,215312,213779,1380,55,98,288978,6345,1045,255747,67415,140051,48281,768960,22513874.0,Wednesday,False,12,2024,824007.0,860687.0,23626893.0,24493504.0,804847.7142857143,828885.3571428572,23204849.714285713,23798917.64285714
2024-12-26,351021,349989,857,74,101,210472,10271,344,166751,46896,89828,30027,739891,21217797.0,Thursday,False,12,2024,768960.0,864699.0,22513874.0,24672206.0,787018.0,820247.5714285715,22711362.714285713,23563043.5
2024-12-27,291750,290696,861,81,112,205762,8344,761,170866,47490,91406,31970,678537,19559310.0,Friday,False,12,2024,739891.0,871013.0,21217797.0,24928526.0,759521.4285714285,807246.0,21944331.85714286,23207810.07142857
2024-12-28,251669,250228,1274,94,73,237325,7405,757,197846,52122,109626,36098,696443,20224933.0,Saturday,True,12,2024,678537.0,829003.0,19559310.0,23984576.0,740584.2857142857,798713.4285714285,21407240.0,22981971.85714286
2024-12-29,157178,155937,1110,85,46,250840,4709,750,186812,49551,103414,33847,601530,17645636.0,Sunday,True,12,2024,696443.0,650604.0,20224933.0,19081197.0,733573.7142857143,778030.0714285715,21202159.85714286,22422612.57142857
2024-12-31,280798,279656,914,96,132,349701,11091,1029,112477,5423,39627,59321,756238,21933266.0,Tuesday,False,12,2024,601530.0,825648.0,17645636.0,23626676.0,723658.0,774828.5714285715,20960244.14285714,22330026.285714287
2025-01-14,138529,137591,818,54,66,191747,4573,306,149138,40216,81935,26987,485231,14201063.0,Tuesday,False,1,2025,756238.0,824007.0,21933266.0,23626893.0,675261.4285714285,746606.5,19613697.0,21550675.5
2025-01-15,543080,542320,584,89,87,84841,14210,228,183005,50864,99435,32706,826124,23216460.0,Wednesday,False,1,2025,485231.0,768960.0,14201063.0,22513874.0,683427.7142857143,744137.7142857143,19714066.42857143,21459458.07142857
2025-01-16,631442,630315,929,115,83,191422,15026,205,12903,3947,6671,2285,852125,23748544.0,Thursday,False,1,2025,826124.0,739891.0,23216460.0,21217797.0,699461.1428571428,743239.5714285715,20075601.714285713,21393482.214285713
2025-01-17,437788,437044,549,106,89,193440,14225,673,192803,52617,105183,35003,839673,23940836.0,Friday,False,1,2025,852125.0,678537.0,23748544.0,19559310.0,722480.5714285715,741001.0,20701534.0,21322932.92857143
2025-01-18,323108,322031,934,87,56,235619,10474,471,222984,58166,125725,39093,793733,22909936.0,Saturday,True,1,2025,839673.0,696443.0,23940836.0,20224933.0,736379.1428571428,738481.7142857143,21085105.85714286,21246172.92857143
2025-01-19,190359,189617,659,45,38,169053,5066,454,169207,44275,96597,28335,534881,15519623.0,Sunday,True,1,2025,793733.0,601530.0,22909936.0,17645636.0,726857.8571428572,730215.7857142857,20781389.714285713,20991774.785714287
2025-01-20,457053,456384,373,58,238,207098,15223,79,200083,55651,107521,36911,880205,25124031.0,Monday,False,1,2025,534881.0,756238.0,15519623.0,21933266.0,744567.4285714285,734112.7142857143,21237213.285714287,21098728.714285713
2025-01-21,476646,475968,362,46,270,189181,16183,169,187190,51655,100268,35267,870047,24766672.0,Tuesday,False,1,2025,880205.0,485231.0,25124031.0,14201063.0,799541.1428571428,737401.2857142857,22746586.0,21180141.5
2025-01-22,479982,478881,604,89,408,195307,13929,418,190297,52460,101538,36299,881034,25140524.0,Wednesday,False,1,2025,870047.0,826124.0,24766672.0,23216460.0,807385.4285714285,745406.5714285715,23021452.285714287,21367759.35714286
2025-01-23,470084,468631,632,264,557,200080,16166,806,193153,53170,103718,36265,881742,25262558.0,Thursday,False,1,2025,881034.0,852125.0,25140524.0,23748544.0,811616.4285714285,755538.7857142857,23237740.0,21656670.85714286
2025-01-24,452373,450489,678,551,655,217495,15630,838,216140,60168,116848,39124,904360,26071321.0,Friday,False,1,2025,881742.0,839673.0,25262558.0,23940836.0,820857.4285714285,771669.0,23542095.0,22121814.5
